ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
1,Brisbane,Brisbane International,1/4/2026,ATP250,Outdoor,Hard,1st Round,3,Tiafoe F.,Vukic A.,30,87,1485,693,6,2,6,2,,,,,,,2,0,Completed,1.44,2.75,1.52,2.7,1.53,2.95,1.47,2.63,1.53,2.88
1,Brisbane,Brisbane International,1/4/2026,ATP250,Outdoor,Hard,1st Round,3,Tien L.,Ugo Carabelli C.,26,48,1540,1028,7,6,6,3,,,,,,,2,0,Completed,1.14,5.5,1.2,5.21,1.18,5.5,1.16,5.06,1.19,6
1,Brisbane,Brisbane International,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Korda S.,Vacherot V.,46,31,1090,1469,7,6,6,3,,,,,,,2,0,Completed,1.5,2.63,1.54,2.64,1.52,2.75,1.48,2.61,1.56,2.74
1,Brisbane,Brisbane International,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,Duckworth J.,37,86,1300,694,6,7,7,6,6,3,,,,,2,1,Completed,1.73,2.1,1.73,2.22,1.8,2.2,1.71,2.11,1.75,2.28
1,Brisbane,Brisbane International,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Lehecka J.,Machac T.,19,35,2075,1360,6,4,6,7,6,2,,,,,2,1,Completed,1.5,2.63,1.52,2.71,1.57,2.75,1.49,2.56,1.54,2.76
1,Brisbane,Brisbane International,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Majchrzak K.,Altmaier D.,59,44,861,1123,7,6,6,0,,,,,,,2,0,Completed,1.91,1.91,,,1.95,1.91,1.91,1.84,2.02,1.94
1,Brisbane,Brisbane International,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Halys Q.,Popyrin A.,91,50,669,1000,5,7,6,3,6,4,,,,,2,1,Completed,2.5,1.53,2.49,1.6,2.5,1.57,2.4,1.55,2.6,1.61
1,Brisbane,Brisbane International,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Sweeny D.,60,183,861,315,6,3,7,5,,,,,,,2,0,Completed,1.62,2.3,1.6,2.49,1.62,2.6,1.56,2.39,1.64,2.52
1,Brisbane,Brisbane International,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Fucsovics M.,13,54,2710,949,6,2,6,3,,,,,,,2,0,Completed,1.29,3.75,1.28,4.03,1.29,3.8,1.26,3.73,1.28,4.3
1,Brisbane,Brisbane International,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Collignon R.,Shapovalov D.,84,23,704,1665,6,4,6,2,,,,,,,2,0,Completed,2.1,1.73,2.03,1.86,2.2,1.78,2.06,1.74,2.14,1.86
1,Brisbane,Brisbane International,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Nakashima B.,Davidovich Fokina A.,33,14,1380,2585,7,6,6,4,,,,,,,2,0,Completed,2.5,1.53,2.4,1.63,2.5,1.65,2.35,1.57,2.48,1.66
1,Brisbane,Brisbane International,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Mpetshi G.,Paul T.,67,20,825,2050,7,6,3,6,7,6,,,,,2,1,Completed,2.75,1.44,2.73,1.51,2.75,1.55,2.64,1.47,2.84,1.52
1,Brisbane,Brisbane International,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Kovacevic A.,Kyrgios N.,58,670,877,50,6,3,6,4,,,,,,,2,0,Completed,1.62,2.3,1.6,2.47,1.65,2.5,1.6,2.29,1.59,2.66
1,Brisbane,Brisbane International,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Humbert U.,28,36,1523,1355,1,6,7,6,7,5,,,,,2,1,Completed,2.2,1.67,2.21,1.74,2.2,1.8,2.1,1.72,2.3,1.75
1,Brisbane,Brisbane International,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Walton A.,111,77,546,732,6,3,6,2,,,,,,,2,0,Completed,1.73,2.1,1.79,2.13,1.76,2.1,1.73,2.08,1.8,2.22
1,Brisbane,Brisbane International,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Carreno Busta P.,47,92,1080,656,6,3,6,2,,,,,,,2,0,Completed,1.44,2.75,1.51,2.74,1.55,2.8,1.47,2.67,1.52,2.9
1,Brisbane,Brisbane International,1/7/2026,ATP250,Outdoor,Hard,2nd Round,3,Michelsen A.,Tien L.,37,26,1300,1540,6,4,6,2,,,,,,,2,0,Completed,2.38,1.57,2.57,1.56,2.54,1.58,2.45,1.54,2.68,1.58
1,Brisbane,Brisbane International,1/7/2026,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Tiafoe F.,13,30,2710,1485,6,3,6,2,,,,,,,2,0,Completed,1.3,3.5,1.35,3.44,1.33,3.55,1.31,3.42,1.38,3.55
1,Brisbane,Brisbane International,1/7/2026,ATP250,Outdoor,Hard,2nd Round,3,Korda S.,Lehecka J.,46,19,1090,2075,6,3,1,2,,,,,,,1,0,Retired,2.2,1.67,2.51,1.58,2.35,1.71,2.25,1.62,2.52,1.63
1,Brisbane,Brisbane International,1/7/2026,ATP250,Outdoor,Hard,2nd Round,3,Majchrzak K.,Opelka R.,59,60,861,861,6,7,7,6,7,6,,,,,2,1,Completed,2,1.8,2.08,1.82,2.04,1.83,1.99,1.8,2.12,1.87
1,Brisbane,Brisbane International,1/8/2026,ATP250,Outdoor,Hard,2nd Round,3,Kovacevic A.,Norrie C.,58,28,877,1523,7,6,4,6,6,4,,,,,2,1,Completed,2.63,1.5,2.69,1.52,2.75,1.5,2.64,1.48,2.84,1.54
1,Brisbane,Brisbane International,1/8/2026,ATP250,Outdoor,Hard,2nd Round,3,Nakashima B.,Halys Q.,33,91,1380,669,6,2,6,4,,,,,,,2,0,Completed,1.44,2.75,1.44,3,1.45,2.88,1.43,2.77,1.48,3
1,Brisbane,Brisbane International,1/8/2026,ATP250,Outdoor,Hard,2nd Round,3,Mpetshi G.,Hijikata R.,67,111,825,546,4,6,7,6,7,6,,,,,2,1,Completed,1.57,2.38,1.65,2.35,1.65,2.38,1.6,2.29,1.68,2.42
1,Brisbane,Brisbane International,1/8/2026,ATP250,Outdoor,Hard,2nd Round,3,Collignon R.,Dimitrov G.,84,47,704,1080,7,6,6,3,,,,,,,2,0,Completed,2.75,1.44,2.76,1.5,2.75,1.53,2.63,1.48,2.84,1.53
1,Brisbane,Brisbane International,1/9/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Kovacevic A.,Mpetshi G.,58,67,877,825,7,6,4,6,6,3,,,,,2,1,Completed,2.3,1.62,2.25,1.72,2.38,1.68,2.25,1.62,2.32,1.73
1,Brisbane,Brisbane International,1/9/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Nakashima B.,Collignon R.,33,84,1380,704,6,3,6,3,,,,,,,2,0,Completed,1.62,2.3,1.68,2.32,1.83,2.3,1.66,2.18,1.75,2.3
1,Brisbane,Brisbane International,1/9/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Michelsen A.,Korda S.,37,46,1300,1090,6,3,7,6,,,,,,,2,0,Completed,2.75,1.44,2.82,1.49,2.75,1.5,2.65,1.46,2.88,1.52
1,Brisbane,Brisbane International,1/9/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Majchrzak K.,13,59,2710,861,6,7,6,3,6,2,,,,,2,1,Completed,1.14,5.5,1.17,5.95,1.18,6.5,1.15,5.38,1.17,6.8
1,Brisbane,Brisbane International,1/10/2026,ATP250,Outdoor,Hard,Semifinals,3,Nakashima B.,Kovacevic A.,33,58,1380,877,7,6,6,4,,,,,,,2,0,Completed,1.36,3.2,1.37,3.38,1.4,3.2,1.36,3.04,1.4,3.4
1,Brisbane,Brisbane International,1/10/2026,ATP250,Outdoor,Hard,Semifinals,3,Medvedev D.,Michelsen A.,13,37,2710,1300,6,4,6,2,,,,,,,2,0,Completed,1.25,4,,,1.29,4,1.26,3.77,1.32,4
1,Brisbane,Brisbane International,1/11/2026,ATP250,Outdoor,Hard,The Final,3,Medvedev D.,Nakashima B.,13,33,2710,1380,6,2,7,6,,,,,,,2,0,Completed,1.29,3.75,1.29,4.01,1.3,3.75,1.28,3.6,1.31,4.2
2,Hong Kong,Hong Kong Tennis Open,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Dzumhur D.,45,65,1120,837,6,4,6,3,,,,,,,2,0,Completed,1.44,2.75,1.47,2.88,1.49,2.8,1.44,2.69,1.51,2.88
2,Hong Kong,Hong Kong Tennis Open,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Mannarino A.,70,68,765,817,6,3,6,2,,,,,,,2,0,Completed,1.8,2,1.77,2.16,1.81,2.06,1.76,2.02,1.83,2.16
2,Hong Kong,Hong Kong Tennis Open,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Wu Y.,Marozsan F.,179,53,322,975,6,4,6,2,,,,,,,2,0,Completed,2,1.8,2.23,1.72,2.2,1.84,2.08,1.72,2.32,1.74
2,Hong Kong,Hong Kong Tennis Open,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Etcheverry T.,Royer V.,57,56,895,924,6,4,7,5,,,,,,,2,0,Completed,1.8,2,1.95,1.93,1.91,2.1,1.84,1.93,2.02,1.96
2,Hong Kong,Hong Kong Tennis Open,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Sonego L.,Sakamoto R.,39,200,1240,292,6,2,7,6,,,,,,,2,0,Completed,1.44,2.75,1.51,2.74,1.5,2.75,1.46,2.63,1.52,2.84
2,Hong Kong,Hong Kong Tennis Open,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Muller A.,Kecmanovic M.,52,51,980,1000,7,5,6,4,,,,,,,2,0,Completed,2.3,1.62,2.26,1.7,2.3,1.73,2.23,1.62,2.26,1.75
2,Hong Kong,Hong Kong Tennis Open,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Wong C.,Navone M.,150,72,406,760,6,3,7,5,,,,,,,2,0,Completed,1.73,2.1,1.84,2.06,1.82,2.2,1.76,2.02,1.94,2.06
2,Hong Kong,Hong Kong Tennis Open,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Diallo G.,De Jong J.,40,71,1215,763,6,4,7,6,,,,,,,2,0,Completed,1.44,2.75,1.43,3.05,1.45,2.9,1.41,2.8,1.46,3.05
2,Hong Kong,Hong Kong Tennis Open,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Mmoh M.,Tabilo A.,285,81,184,717,7,5,6,4,,,,,,,2,0,Completed,2.3,1.62,2.38,1.65,2.6,1.68,2.35,1.57,2.48,1.66
2,Hong Kong,Hong Kong Tennis Open,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Struff J.L.,75,82,746,711,6,3,1,6,6,1,,,,,2,1,Completed,2.1,1.73,2.22,1.73,2.23,1.73,2.17,1.66,2.34,1.72
2,Hong Kong,Hong Kong Tennis Open,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Djere L.,64,95,845,652,6,2,6,0,,,,,,,2,0,Completed,1.67,2.2,1.73,2.22,1.73,2.2,1.69,2.11,1.72,2.32
2,Hong Kong,Hong Kong Tennis Open,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Shang J.,Comesana F.,406,66,115,829,6,4,6,4,,,,,,,2,0,Completed,1.5,2.63,1.55,2.61,1.6,2.63,1.5,2.53,1.55,2.78
2,Hong Kong,Hong Kong Tennis Open,1/7/2026,ATP250,Outdoor,Hard,2nd Round,3,Musetti L.,Etcheverry T.,7,57,3990,895,6,7,6,2,6,4,,,,,2,1,Completed,1.3,3.5,,,1.32,3.5,1.3,3.4,1.33,3.85
2,Hong Kong,Hong Kong Tennis Open,1/7/2026,ATP250,Outdoor,Hard,2nd Round,3,Borges N.,Cilic M.,45,70,1120,765,7,5,6,3,,,,,,,2,0,Completed,1.91,1.91,1.93,1.95,1.95,1.94,1.88,1.89,1.96,2.02
2,Hong Kong,Hong Kong Tennis Open,1/7/2026,ATP250,Outdoor,Hard,2nd Round,3,Wong C.,Diallo G.,150,40,406,1215,1,6,7,5,7,5,,,,,2,1,Completed,2.75,1.44,,,2.95,1.5,2.65,1.46,2.88,1.51
2,Hong Kong,Hong Kong Tennis Open,1/7/2026,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Wu Y.,16,179,2510,322,3,6,6,2,6,1,,,,,2,1,Completed,1.44,2.75,1.51,2.6,1.5,2.75,1.47,2.61,1.51,2.96
2,Hong Kong,Hong Kong Tennis Open,1/8/2026,ATP250,Outdoor,Hard,2nd Round,3,Shang J.,Sonego L.,406,39,115,1240,6,3,6,4,,,,,,,2,0,Completed,1.62,2.3,1.69,2.29,1.68,2.3,1.63,2.23,1.73,2.34
2,Hong Kong,Hong Kong Tennis Open,1/8/2026,ATP250,Outdoor,Hard,2nd Round,3,Giron M.,Muller A.,64,52,845,980,6,4,7,6,,,,,,,2,0,Completed,1.8,2,1.8,2.11,1.84,2.01,1.79,1.99,1.84,2.16
2,Hong Kong,Hong Kong Tennis Open,1/8/2026,ATP250,Outdoor,Hard,2nd Round,3,Mmoh M.,Khachanov K.,285,17,184,2320,7,6,7,6,,,,,,,2,0,Completed,3.4,1.33,3.32,1.37,3.4,1.35,3.25,1.33,3.55,1.38
2,Hong Kong,Hong Kong Tennis Open,1/8/2026,ATP250,Outdoor,Hard,2nd Round,3,Bublik A.,Van De Zandschulp B.,11,75,2845,746,6,3,6,3,,,,,,,2,0,Completed,1.44,2.75,1.48,2.82,1.5,2.8,1.46,2.65,1.53,2.82
2,Hong Kong,Hong Kong Tennis Open,1/9/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Musetti L.,Wong C.,7,150,3990,406,6,4,6,4,,,,,,,2,0,Completed,1.25,4,1.29,4.05,1.29,4,1.26,3.71,1.29,4.3
2,Hong Kong,Hong Kong Tennis Open,1/9/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Rublev A.,Borges N.,16,45,2510,1120,6,3,6,4,,,,,,,2,0,Completed,1.44,2.75,1.53,2.69,1.5,2.75,1.47,2.62,1.58,2.72
2,Hong Kong,Hong Kong Tennis Open,1/9/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Bublik A.,Shang J.,11,406,2845,115,6,1,7,6,,,,,,,2,0,Completed,1.53,2.5,,,1.58,2.5,1.54,2.42,1.61,2.6
2,Hong Kong,Hong Kong Tennis Open,1/9/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Giron M.,Mmoh M.,64,285,845,184,6,3,1,0,,,,,,,1,0,Retired,1.57,2.38,1.62,2.46,1.62,2.4,1.57,2.35,1.63,2.54
2,Hong Kong,Hong Kong Tennis Open,1/10/2026,ATP250,Outdoor,Hard,Semifinals,3,Musetti L.,Rublev A.,7,16,3990,2510,6,7,7,5,6,4,,,,,2,1,Completed,1.8,2,,,1.91,2,1.83,1.95,2,1.98
2,Hong Kong,Hong Kong Tennis Open,1/10/2026,ATP250,Outdoor,Hard,Semifinals,3,Bublik A.,Giron M.,11,64,2845,845,3,6,6,4,6,2,,,,,2,1,Completed,1.29,3.75,,,1.3,3.75,1.28,3.6,1.31,4.1
2,Hong Kong,Hong Kong Tennis Open,1/11/2026,ATP250,Outdoor,Hard,The Final,3,Bublik A.,Musetti L.,11,7,2845,3990,7,6,6,3,,,,,,,2,0,Completed,1.8,2,1.86,2.05,1.87,2.05,1.8,1.98,1.93,2.06
3,Adelaide,Adelaide International,1/12/2026,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Popyrin A.,62,49,873,1000,6,3,7,6,,,,,,,2,0,Completed,2,1.8,2.07,1.83,2.08,1.85,2.01,1.77,2.12,1.86
3,Adelaide,Adelaide International,1/12/2026,ATP250,Outdoor,Hard,1st Round,3,Munar J.,Altmaier D.,38,44,1295,1123,6,3,6,0,,,,,,,2,0,Completed,1.4,3,1.41,3.14,1.44,3,1.39,2.9,1.43,3.25
3,Adelaide,Adelaide International,1/12/2026,ATP250,Outdoor,Hard,1st Round,3,Vacherot V.,Kecmanovic M.,32,59,1469,910,7,6,6,4,,,,,,,2,0,Completed,1.73,2.1,1.78,2.15,1.75,2.2,1.72,2.09,1.84,2.16
3,Adelaide,Adelaide International,1/12/2026,ATP250,Outdoor,Hard,1st Round,3,Humbert U.,Atmane T.,36,64,1355,862,6,3,7,6,,,,,,,2,0,Completed,1.3,3.5,1.38,3.3,1.36,3.5,1.33,3.27,1.39,3.5
3,Adelaide,Adelaide International,1/12/2026,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Korda S.,670,51,50,975,3,6,6,3,7,6,,,,,2,1,Completed,3.5,1.3,3.47,1.35,3.6,1.35,3.37,1.31,3.55,1.38
3,Adelaide,Adelaide International,1/13/2026,ATP250,Outdoor,Hard,1st Round,3,Machac T.,Duckworth J.,35,86,1360,694,6,3,6,3,,,,,,,2,0,Completed,1.62,2.3,1.58,2.53,1.67,2.3,1.62,2.25,1.74,2.32
3,Adelaide,Adelaide International,1/13/2026,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Schoolkate T.,115,97,527,641,6,4,6,4,,,,,,,2,0,Completed,1.62,2.3,1.71,2.25,1.67,2.3,1.63,2.23,1.8,2.22
3,Adelaide,Adelaide International,1/13/2026,ATP250,Outdoor,Hard,1st Round,3,Halys Q.,Fearnley J.,85,77,697,752,6,3,6,4,,,,,,,2,0,Completed,1.57,2.38,,,1.68,2.38,1.63,2.23,1.71,2.34
3,Adelaide,Adelaide International,1/13/2026,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Dzumhur D.,104,66,597,837,4,6,6,4,7,5,,,,,2,1,Completed,1.73,2.1,,,1.74,2.25,1.67,2.15,1.74,2.32
3,Adelaide,Adelaide International,1/13/2026,ATP250,Outdoor,Hard,1st Round,3,Vavassori A.,Diallo G.,336,41,147,1215,6,3,7,6,,,,,,,2,0,Completed,3.4,1.33,,,3.5,1.9,3.05,1.42,3.75,1.35
3,Adelaide,Adelaide International,1/13/2026,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Quinn E.,55,78,949,733,6,4,6,4,,,,,,,2,0,Completed,1.8,2,1.74,2.21,1.9,2.05,1.79,1.98,1.89,2.06
3,Adelaide,Adelaide International,1/13/2026,ATP250,Outdoor,Hard,1st Round,3,Vukic A.,Tsitsipas S.,87,33,693,1455,7,6,7,6,,,,,,,2,0,Completed,3.75,1.29,,,3.75,1.32,3.51,1.29,4,1.32
3,Adelaide,Adelaide International,1/14/2026,ATP250,Outdoor,Hard,2nd Round,3,Munar J.,Cerundolo F.,38,20,1295,2035,3,6,7,5,6,4,,,,,2,1,Completed,1.67,2.2,,,1.67,2.25,1.65,2.2,1.76,2.28
3,Adelaide,Adelaide International,1/14/2026,ATP250,Outdoor,Hard,2nd Round,3,Humbert U.,Griekspoor T.,36,25,1355,1565,6,4,6,1,,,,,,,2,0,Completed,1.53,2.5,,,1.6,2.5,1.53,2.45,1.61,2.58
3,Adelaide,Adelaide International,1/14/2026,ATP250,Outdoor,Hard,2nd Round,3,Machac T.,Halys Q.,35,85,1360,697,6,4,6,2,,,,,,,2,0,Completed,1.57,2.38,,,1.67,2.4,1.58,2.32,1.64,2.52
3,Adelaide,Adelaide International,1/14/2026,ATP250,Outdoor,Hard,2nd Round,3,Paul T.,Opelka R.,21,62,2000,873,6,4,6,4,,,,,,,2,0,Completed,1.53,2.5,,,1.61,2.5,1.55,2.4,1.59,2.66
3,Adelaide,Adelaide International,1/14/2026,ATP250,Outdoor,Hard,2nd Round,3,Shevchenko A.,Fucsovics M.,104,55,597,949,6,3,7,6,,,,,,,2,0,Completed,2.75,1.44,,,2.75,1.53,2.61,1.48,2.62,1.59
3,Adelaide,Adelaide International,1/14/2026,ATP250,Outdoor,Hard,2nd Round,3,Vukic A.,Vavassori A.,87,336,693,147,6,2,7,6,,,,,,,2,0,Completed,1.62,2.3,,,1.63,2.5,1.56,2.39,1.66,2.48
3,Adelaide,Adelaide International,1/14/2026,ATP250,Outdoor,Hard,2nd Round,3,Vacherot V.,Kokkinakis T.,32,670,1469,50,,,,,,,,,,,,,Walkover,1.44,2.75,,,1.5,2.88,1.44,2.73,1.46,3.05
3,Adelaide,Adelaide International,1/14/2026,ATP250,Outdoor,Hard,2nd Round,3,Davidovich Fokina A.,Hijikata R.,15,115,2585,527,6,3,6,2,,,,,,,2,0,Completed,1.36,3.2,,,1.44,3.2,1.37,3.03,1.43,3.25
3,Adelaide,Adelaide International,1/15/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Machac T.,Munar J.,35,38,1360,1295,6,4,6,4,,,,,,,2,0,Completed,1.73,2.1,,,1.91,2.1,1.77,2.01,1.89,2.1
3,Adelaide,Adelaide International,1/15/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Paul T.,Vukic A.,21,87,2000,693,6,3,6,2,,,,,,,2,0,Completed,1.22,4.33,,,1.29,4.33,1.24,3.97,1.28,4.4
3,Adelaide,Adelaide International,1/15/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Humbert U.,Shevchenko A.,36,104,1355,597,6,0,6,3,,,,,,,2,0,Completed,1.25,4,,,1.26,4.2,1.24,3.89,1.29,4.3
3,Adelaide,Adelaide International,1/15/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Davidovich Fokina A.,Vacherot V.,15,32,2585,1469,7,6,6,2,,,,,,,2,0,Completed,1.53,2.5,,,1.87,2.5,1.55,2.43,1.61,2.6
3,Adelaide,Adelaide International,1/16/2026,ATP250,Outdoor,Hard,Semifinals,3,Machac T.,Paul T.,35,21,1360,2000,2,6,6,3,6,3,,,,,2,1,Completed,2.38,1.57,,,2.4,1.63,2.31,1.59,2.48,1.65
3,Adelaide,Adelaide International,1/16/2026,ATP250,Outdoor,Hard,Semifinals,3,Humbert U.,Davidovich Fokina A.,36,15,1355,2585,6,3,5,7,7,6,,,,,2,1,Completed,1.8,2,,,1.83,2.05,1.77,2.01,1.85,2.16
3,Adelaide,Adelaide International,1/17/2026,ATP250,Outdoor,Hard,The Final,3,Machac T.,Humbert U.,35,36,1360,1355,6,4,6,7,6,2,,,,,2,1,Completed,2.2,1.67,,,2.25,1.68,2.2,1.66,2.36,1.72
4,Auckland,ASB Classic,1/11/2026,ATP250,Outdoor,Hard,1st Round,3,Spizzirri E.,Mannarino A.,89,69,672,810,6,4,6,3,,,,,,,2,0,Completed,1.62,2.3,1.59,2.5,1.62,2.4,1.57,2.33,1.62,2.58
4,Auckland,ASB Classic,1/12/2026,ATP250,Outdoor,Hard,1st Round,3,Brooksby J.,Watt J.,48,643,1017,55,6,4,6,3,,,,,,,2,0,Completed,1.07,9,1.08,10,1.07,13,1.06,8.69,1.09,11
4,Auckland,ASB Classic,1/12/2026,ATP250,Outdoor,Hard,1st Round,3,Comesana F.,Royer V.,68,57,829,924,6,4,6,4,,,,,,,2,0,Completed,2.2,1.67,2.21,1.74,2.25,1.75,2.12,1.7,2.2,1.78
4,Auckland,ASB Classic,1/12/2026,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Gaston H.,28,94,1538,653,6,3,6,4,,,,,,,2,0,Completed,1.5,2.63,1.53,2.65,1.53,2.8,1.5,2.55,1.59,2.66
4,Auckland,ASB Classic,1/12/2026,ATP250,Outdoor,Hard,1st Round,3,Baez S.,Nava E.,39,88,1250,677,4,6,7,5,6,3,,,,,2,1,Completed,2,1.8,2.19,1.75,2.1,1.8,2.02,1.76,2.22,1.81
4,Auckland,ASB Classic,1/12/2026,ATP250,Outdoor,Hard,1st Round,3,Tabilo A.,Ugo Carabelli C.,81,47,722,1028,6,4,6,2,,,,,,,2,0,Completed,1.44,2.75,1.47,2.88,1.45,2.8,1.43,2.73,1.46,3
4,Auckland,ASB Classic,1/12/2026,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,Navone M.,37,74,1350,760,2,6,6,2,7,5,,,,,2,1,Completed,1.3,3.5,1.34,3.55,1.32,3.5,1.3,3.44,1.35,3.7
4,Auckland,ASB Classic,1/13/2026,ATP250,Outdoor,Hard,1st Round,3,Mpetshi G.,Bautista Agut R.,63,90,865,670,6,3,7,6,,,,,,,2,0,Completed,1.44,2.75,1.4,3.19,1.47,3.1,1.4,2.88,1.4,3.4
4,Auckland,ASB Classic,1/13/2026,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Muller A.,60,50,895,980,6,2,6,2,,,,,,,2,0,Completed,1.8,2,1.88,2,1.8,2.12,1.74,2.05,1.82,2.18
4,Auckland,ASB Classic,1/13/2026,ATP250,Outdoor,Hard,1st Round,3,Medjedovic H.,Kovacevic A.,96,54,643,964,6,4,3,6,7,6,,,,,2,1,Completed,1.44,2.75,1.53,2.67,1.5,2.8,1.46,2.67,1.54,2.8
4,Auckland,ASB Classic,1/13/2026,ATP250,Outdoor,Hard,1st Round,3,Marozsan F.,Monfils G.,52,110,975,550,5,7,6,3,6,4,,,,,2,1,Completed,1.62,2.3,1.67,2.33,1.65,2.38,1.6,2.3,1.64,2.5
4,Auckland,ASB Classic,1/13/2026,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Etcheverry T.,46,61,1070,895,7,5,3,6,7,6,,,,,2,1,Completed,1.8,2,1.88,2,1.85,2,1.81,1.96,1.87,2.14
4,Auckland,ASB Classic,1/13/2026,ATP250,Outdoor,Hard,2nd Round,3,Giron M.,Michelsen A.,60,37,895,1350,6,4,6,4,,,,,,,2,0,Completed,1.91,1.91,,,2.02,1.91,1.96,1.81,2.12,1.87
4,Auckland,ASB Classic,1/13/2026,ATP250,Outdoor,Hard,2nd Round,3,Shelton B.,Comesana F.,8,68,3960,829,7,5,6,4,,,,,,,2,0,Completed,1.25,4,,,1.32,4,1.29,3.53,1.32,4.1
4,Auckland,ASB Classic,1/14/2026,ATP250,Outdoor,Hard,2nd Round,3,Baez S.,Brooksby J.,39,48,1250,1017,7,5,6,0,,,,,,,2,0,Completed,2.5,1.53,,,2.63,1.6,2.41,1.55,2.5,1.65
4,Auckland,ASB Classic,1/14/2026,ATP250,Outdoor,Hard,2nd Round,3,Darderi L.,Tabilo A.,24,81,1579,722,1,6,7,5,6,3,,,,,2,1,Completed,2.3,1.62,,,2.43,1.65,2.34,1.59,2.36,1.72
4,Auckland,ASB Classic,1/14/2026,ATP250,Outdoor,Hard,2nd Round,3,Spizzirri E.,Borges N.,89,46,672,1070,7,6,6,4,,,,,,,2,0,Completed,2.1,1.73,,,2.18,1.75,2.08,1.72,2.12,1.85
4,Auckland,ASB Classic,1/14/2026,ATP250,Outdoor,Hard,2nd Round,3,Mpetshi G.,Norrie C.,63,28,865,1538,4,6,6,3,7,6,,,,,2,1,Completed,2.1,1.73,,,2.12,1.85,2.05,1.74,2.16,1.85
4,Auckland,ASB Classic,1/14/2026,ATP250,Outdoor,Hard,2nd Round,3,Marozsan F.,Ruud C.,52,13,975,2795,6,4,6,4,,,,,,,2,0,Completed,3,1.4,,,3,1.49,2.76,1.44,2.9,1.5
4,Auckland,ASB Classic,1/14/2026,ATP250,Outdoor,Hard,2nd Round,3,Mensik J.,Medjedovic H.,18,96,2125,643,6,1,3,6,6,3,,,,,2,1,Completed,1.67,2.2,,,1.7,2.3,1.66,2.19,1.71,2.38
4,Auckland,ASB Classic,1/14/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Giron M.,Darderi L.,60,24,895,1579,1,6,7,5,6,4,,,,,2,1,Completed,1.4,3,,,1.44,3,1.41,2.84,1.46,3.05
