WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
1,Auckland,ASB Classic,1/4/2026,WTA250,Outdoor,Hard,1st Round,3,Bejlek S.,Udvardy P.,93,87,792,819,7,5,6,1,,,2,0,Completed,1.57,2.38,1.5,2.75,1.57,2.75,1.5,2.57,1.55,2.78
1,Auckland,ASB Classic,1/4/2026,WTA250,Outdoor,Hard,1st Round,3,Jovic I.,Knutson G.,35,182,1423,386,4,6,6,1,6,0,2,1,Completed,1.17,5,1.21,5.02,1.19,5.25,1.17,4.83,1.22,5.3
1,Auckland,ASB Classic,1/5/2026,WTA250,Outdoor,Hard,1st Round,3,Costoulas S.,Osuigwe W.,159,152,440,455,6,4,3,6,6,1,2,1,Completed,1.5,2.63,1.5,2.77,1.5,3.1,1.44,2.72,1.5,2.86
1,Auckland,ASB Classic,1/5/2026,WTA250,Outdoor,Hard,1st Round,3,Wang Xin.,McNally C.,57,83,1056,836,2,6,6,3,7,5,2,1,Completed,2,1.8,1.96,1.93,2.04,1.95,1.93,1.84,2.02,1.92
1,Auckland,ASB Classic,1/5/2026,WTA250,Outdoor,Hard,1st Round,3,Quevedo K.,Stearns P.,141,64,509,982,6,2,7,5,,,2,0,Completed,3,1.4,2.97,1.44,3,1.44,2.84,1.41,3,1.46
1,Auckland,ASB Classic,1/5/2026,WTA250,Outdoor,Hard,1st Round,3,Kraus S.,Grabher J.,108,92,709,799,6,3,6,3,,,2,0,Completed,1.57,2.38,1.58,2.51,1.58,2.5,1.56,2.4,1.59,2.66
1,Auckland,ASB Classic,1/5/2026,WTA250,Outdoor,Hard,1st Round,3,Jones F.,Navarro E.,72,15,912,2515,7,5,2,6,6,4,2,1,Completed,4.33,1.22,4.31,1.25,4.33,1.25,3.98,1.24,4.7,1.26
1,Auckland,ASB Classic,1/5/2026,WTA250,Outdoor,Hard,1st Round,3,Zarazua R.,Stephens S.,77,1098,844,14,7,5,4,6,6,2,2,1,Completed,1.25,4,1.25,4.43,1.26,4.25,1.23,3.98,1.25,4.8
1,Auckland,ASB Classic,1/5/2026,WTA250,Outdoor,Hard,1st Round,3,Marcinko P.,Osorio M.,82,76,837,860,6,4,0,6,7,6,2,1,Completed,1.8,2,1.79,2.12,1.81,2.01,1.78,1.99,1.79,2.22
1,Auckland,ASB Classic,1/5/2026,WTA250,Outdoor,Hard,1st Round,3,Boulter K.,Starodubtseva Y.,112,111,684,685,6,3,6,3,,,2,0,Completed,1.8,2,1.83,2.06,1.8,2.1,1.77,2.02,1.84,2.16
1,Auckland,ASB Classic,1/6/2026,WTA250,Outdoor,Hard,1st Round,3,Seidel E.,Barry M.,84,726,833,52,6,2,6,1,,,2,0,Completed,1.02,19,1.02,32.06,1.03,19,1.02,16.06,1.02,30
1,Auckland,ASB Classic,1/6/2026,WTA250,Outdoor,Hard,1st Round,3,Kartal S.,Tjen J.,68,54,951,1075,6,1,6,7,6,3,2,1,Completed,2,1.8,2.22,1.73,2.2,1.85,2.09,1.72,2.2,1.78
1,Auckland,ASB Classic,1/6/2026,WTA250,Outdoor,Hard,1st Round,3,Linette M.,Williams V.,52,582,1089,80,6,4,4,6,6,2,2,1,Completed,1.22,4.33,1.23,4.68,1.25,4.5,1.22,4.21,1.22,5.3
1,Auckland,ASB Classic,1/6/2026,WTA250,Outdoor,Hard,1st Round,3,Cocciaretto E.,Parks A.,81,101,837,760,6,2,7,5,,,2,0,Completed,1.62,2.3,1.68,2.29,1.67,2.35,1.62,2.25,1.7,2.38
1,Auckland,ASB Classic,1/6/2026,WTA250,Outdoor,Hard,1st Round,3,Svitolina E.,Gracheva V.,13,75,2606,887,6,3,6,1,,,2,0,Completed,1.25,4,1.25,4.35,1.25,4.4,1.22,4.13,1.25,4.8
1,Auckland,ASB Classic,1/6/2026,WTA250,Outdoor,Hard,1st Round,3,Eala A.,Vekic D.,53,69,1076,935,4,6,6,4,6,4,2,1,Completed,1.62,2.3,1.65,2.38,1.65,2.32,1.61,2.27,1.67,2.46
1,Auckland,ASB Classic,1/6/2026,WTA250,Outdoor,Hard,2nd Round,3,Jovic I.,Bejlek S.,35,93,1423,792,7,6,6,4,,,2,0,Completed,1.4,3,1.44,2.95,1.48,3,1.43,2.77,1.47,3.05
1,Auckland,ASB Classic,1/7/2026,WTA250,Outdoor,Hard,2nd Round,3,Jones F.,Kraus S.,72,108,912,709,1,6,6,4,6,1,2,1,Completed,1.4,3,1.38,3.26,1.4,3.1,1.38,2.97,1.43,3.25
1,Auckland,ASB Classic,1/7/2026,WTA250,Outdoor,Hard,2nd Round,3,Wang Xin.,Zarazua R.,57,77,1056,844,7,5,6,4,,,2,0,Completed,1.4,3,1.42,3.08,1.42,3,1.4,2.89,1.42,3.3
